RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        16297     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.673D+05  2.879D+07
    1    2     1     0  ---    0  4.2D-07  1.0D+00  2.074D+05  2.692D+07
    2    4     0     0  con    1  4.8D-01  1.1D+00  1.097D+05  2.592D+07
    3    5     0     0  con    0  1.0D+00  5.0D-01  8.877D+04  2.568D+07
    4    6     0     0  con    0  1.0D+00  1.3D+00  2.120D+05  2.536D+07
    5    7     0     0  con    0  1.0D+00  8.2D-01  8.763D+04  2.515D+07
    6    8     0     0  con    0  1.0D+00  9.0D-01  9.484D+04  2.496D+07
    7    9     0     0  con    0  1.0D+00  1.3D+00  1.556D+05  2.473D+07
    8   11     0     0  con    1  3.9D-01  9.9D-01  1.721D+05  2.456D+07
    9   13     0     0  con    1  4.9D-01  6.3D-01  1.529D+05  2.443D+07
   10   14     0     0  con    0  1.0D+00  8.2D-01  7.478D+04  2.430D+07
   11   15     0     0  con    0  1.0D+00  6.0D-01  1.173D+05  2.423D+07
   12   16     0     0  con    0  1.0D+00  2.9D-01  6.659D+04  2.418D+07
   13   17     0     0  con    0  1.0D+00  4.3D-01  6.659D+04  2.412D+07
   14   18     0     0  con    0  1.0D+00  2.2D+00  1.608D+05  2.389D+07
   15   20     0     0  con    1  2.5D-01  1.2D+00  1.971D+05  2.380D+07
   16   22     0     0  con    1  4.9D-01  6.6D-01  1.934D+05  2.372D+07
   17   23     0     0  con    0  1.0D+00  7.3D-01  1.072D+05  2.356D+07
   18   24     0     0  con    0  1.0D+00  6.6D-01  6.658D+04  2.351D+07
   19   25     0     0  con    0  1.0D+00  4.2D-01  1.268D+05  2.347D+07
   20   26     0     0  con    0  1.0D+00  1.8D-01  1.571D+04  2.345D+07
   21   27     0     0  con    0  1.0D+00  1.9D-01  2.652D+04  2.343D+07
   22   28     0     0  con    0  1.0D+00  5.5D-01  4.693D+04  2.341D+07
   23   29     0     0  con    0  1.0D+00  6.1D-01  3.153D+04  2.337D+07
   24   30     0     0  con    0  1.0D+00  1.8D+00  3.926D+04  2.334D+07
   25   31     0     0  con    0  1.0D+00  4.1D-01  4.318D+04  2.329D+07
   26   32     0     0  con    0  1.0D+00  2.4D-01  3.858D+04  2.327D+07
   27   33     0     0  con    0  1.0D+00  7.9D-01  2.132D+04  2.324D+07
   28   35     0     0  con    1  5.2D-01  7.1D-01  2.613D+04  2.322D+07
   29   36     0     0  con    0  1.0D+00  4.3D-01  2.194D+04  2.320D+07
   30   37     0     0  con    0  1.0D+00  4.7D-01  1.988D+04  2.319D+07
   31   38     0     0  con    0  1.0D+00  4.0D-01  1.611D+04  2.318D+07
   32   39     0     0  con    0  1.0D+00  4.9D-01  2.699D+04  2.317D+07
   33   40     0     0  con    0  1.0D+00  2.5D-01  2.400D+04  2.316D+07
   34   41     0     0  con    0  1.0D+00  4.7D-01  1.738D+04  2.314D+07
   35   42     0     0  con    0  1.0D+00  6.2D-01  1.713D+04  2.313D+07
   36   43     0     0  con    0  1.0D+00  4.0D-01  2.005D+04  2.312D+07
   37   44     0     0  con    0  1.0D+00  9.2D-01  3.098D+04  2.310D+07
   38   45     0     0  con    0  1.0D+00  6.2D-01  3.120D+04  2.308D+07
   39   46     0     0  con    0  1.0D+00  9.4D-01  1.536D+04  2.307D+07
   40   48     0     0  con    1  4.1D-01  5.6D-01  1.937D+04  2.306D+07
   41   49     0     0  con    0  1.0D+00  3.6D-01  2.027D+04  2.305D+07
   42   50     0     0  con    0  1.0D+00  3.1D-01  2.800D+04  2.304D+07
   43   51     0     0  con    0  1.0D+00  5.9D-01  2.368D+04  2.302D+07
   44   52     0     0  con    0  1.0D+00  8.9D-01  2.596D+04  2.301D+07
   45   53     0     0  con    0  1.0D+00  1.7D-01  2.148D+04  2.300D+07
   46   54     0     0  con    0  1.0D+00  2.5D-01  1.622D+04  2.299D+07
   47   55     0     0  con    0  1.0D+00  4.0D-01  2.405D+04  2.298D+07
   48   56     0     0  con    0  1.0D+00  8.3D-01  3.048D+04  2.297D+07
   49   57     0     0  con    0  1.0D+00  2.7D-01  2.245D+04  2.296D+07
   50   58     0     0  con    0  1.0D+00  2.5D-01  1.733D+04  2.295D+07
   51   59     0     0  con    0  1.0D+00  3.5D-01  2.102D+04  2.295D+07
   52   60     0     0  con    0  1.0D+00  6.4D-01  2.468D+04  2.293D+07
   53   61     0     0  con    0  1.0D+00  5.7D-01  1.865D+04  2.292D+07
   54   62     0     0  con    0  1.0D+00  2.3D-01  1.675D+04  2.292D+07
   55   63     0     0  con    0  1.0D+00  5.1D-01  2.641D+04  2.291D+07
   56   64     0     0  con    0  1.0D+00  3.1D-01  2.615D+04  2.290D+07
   57   65     0     0  con    0  1.0D+00  2.5D-01  1.633D+04  2.289D+07
   58   66     0     0  con    0  1.0D+00  8.0D-01  1.686D+04  2.288D+07
   59   67     0     0  con    0  1.0D+00  8.1D-01  2.328D+04  2.287D+07
   60   68     0     0  con    0  1.0D+00  4.6D-01  2.151D+04  2.286D+07
   61   69     0     0  con    0  1.0D+00  4.3D-01  1.633D+04  2.284D+07
   62   70     0     0  con    0  1.0D+00  5.0D-01  2.332D+04  2.283D+07
   63   71     0     0  con    0  1.0D+00  9.4D-01  2.123D+04  2.282D+07
   64   72     0     0  con    0  1.0D+00  4.0D-01  2.203D+04  2.281D+07
   65   73     0     0  con    0  1.0D+00  8.2D-01  1.824D+04  2.279D+07
   66   74     0     0  con    0  1.0D+00  6.1D-01  2.240D+04  2.278D+07
   67   75     0     0  con    0  1.0D+00  5.3D-01  2.037D+04  2.277D+07
   68   76     0     0  con    0  1.0D+00  7.7D-01  2.384D+04  2.276D+07
   69   77     0     0  con    0  1.0D+00  4.2D-01  1.679D+04  2.275D+07
   70   78     0     0  con    0  1.0D+00  2.1D-01  1.860D+04  2.274D+07
   71   79     0     0  con    0  1.0D+00  4.2D-01  1.558D+04  2.273D+07
   72   80     0     0  con    0  1.0D+00  3.7D-01  1.987D+04  2.273D+07
   73   81     0     0  con    0  1.0D+00  9.4D-01  2.201D+04  2.271D+07
